단지명,도로명
푸른마을아파트,서울특별시강남구일원로14길25
푸른솔아파트1동,서울특별시강남구학동로420
풍림,서울특별시강남구테헤란로77길22
풍림(1차),서울특별시강남구영동대로112길15
풍림아이원1차101동(910-3),서울특별시강남구역삼로434
풍림아이원1차103동(910-5),서울특별시강남구역삼로438
풍림아이원2차201동,서울특별시강남구선릉로72길45
풍림아이원2차202동,서울특별시강남구역삼로74길8
풍림아이원3차(1007-1),서울특별시강남구영동대로72길10
풍림아이원4차(1007-2),서울특별시강남구영동대로330-7
풍림아이원아파트,서울특별시강남구역삼로436
풍림지오빌,서울특별시강남구테헤란로5길36
프라임,서울특별시강남구도산대로30길56
프리마빌,서울특별시강남구역삼로25길17
프리빌리지,서울특별시강남구언주로81길28
프리우스역삼101동,서울특별시강남구강남대로94길51-14
프리우스역삼102동,서울특별시강남구테헤란로13길31-7
플래티늄1,서울특별시강남구언주로75길24
필로스(193-45),서울특별시강남구남부순환로381길57
하니움,서울특별시강남구광평로60길32
하야트빌,서울특별시강남구논현로159길56
하우스온더락,서울특별시강남구역삼로81길15
하이캐슬,서울특별시강남구삼성로64길40
하이캐슬102동,서울특별시강남구삼성로64길36
하이페리온,서울특별시강남구도곡로4길31
학동,서울특별시강남구논현로124길28
한라비발디,서울특별시강남구남부순환로365길33
한보미도맨션1,서울특별시강남구삼성로150
한보미도맨션2,서울특별시강남구삼성로150
한솔마을,서울특별시강남구광평로10길6
한스빌(836),서울특별시강남구도곡로3길26
한신(개포),서울특별시강남구언주로123
한신엠비씨,서울특별시강남구논현로205
한신오페라하우스,서울특별시강남구삼성로135길47
한신오페라하우스2차,서울특별시강남구학동로63길14
한양1차(영동한양),서울특별시강남구압구정로321
한양2,서울특별시강남구압구정로347
한양3,서울특별시강남구압구정로321
한양4,서울특별시강남구압구정로313
한양5,서울특별시강남구압구정로401
한양6,서울특별시강남구압구정로313
한양7,서울특별시강남구압구정로61길37
한양8(81동한개동),서울특별시강남구압구정로403
한양럭스,서울특별시강남구테헤란로25길58
한양립스,서울특별시강남구선릉로92길37-4
한양빌라트,서울특별시강남구논현로140길22
한양수자인어반게이트,서울특별시강남구봉은사로29길35
한양아파트,서울특별시강남구논현로157길29
한양팰리스,서울특별시강남구삼성로61길9
한일,서울특별시강남구봉은사로73길23
한진로즈힐,서울특별시강남구도산대로46길21
한티(933-0),서울특별시강남구도곡로73길18
한티(933-35),서울특별시강남구삼성로63길37
한화꿈에그린2차,서울특별시강남구봉은사로21길19
한화진넥스빌,서울특별시강남구언주로86길11
해암프리존,서울특별시강남구영동대로325
현대,서울특별시강남구선릉로18길12
현대1,서울특별시강남구영동대로57길28
현대10차(201202동),서울특별시강남구압구정로29길69
현대13차(208~211동),서울특별시강남구압구정로29길23
현대14차(203204205206동),서울특별시강남구압구정로29길57
현대1차(12132122313233동),서울특별시강남구압구정로29길71
현대1차101동~106동,서울특별시강남구개포로303
현대2,서울특별시강남구언주로107
현대2차,서울특별시강남구삼성로122길45
현대2차(101120232425동),서울특별시강남구압구정로29길71
현대3차(61~64동),서울특별시강남구압구정로39길58
현대4,서울특별시강남구개포로110길21
현대4차저층(51~56동),서울특별시강남구압구정로33길70
현대5차(7172동),서울특별시강남구압구정로29길68
현대65동(대림아크로빌아파트),서울특별시강남구압구정로201
현대6차(78~8183848687동),서울특별시강남구압구정로201
현대7차(73~778285동),서울특별시강남구압구정로201
현대8차(성수현대:91~95동),서울특별시강남구압구정로309
현대그린1,서울특별시강남구논현로51길25
현대까르띠에710,서울특별시강남구언주로86길12
현대넥서스B동,서울특별시강남구언주로122길6
현대비전21,서울특별시강남구언주로30길10
현대빌라(43-1),서울특별시강남구선릉로132길42
현대빌라트,서울특별시강남구봉은사로74길5
현대빌라트,서울특별시강남구압구정로29길49
현대삼성동1차,서울특별시강남구삼성로120길52-5
현대썬앤빌,서울특별시강남구도산대로225
현대썬앤빌테헤란,서울특별시강남구삼성로85길33
현대아이리스1,서울특별시강남구도곡로6길14
현대아인빌,서울특별시강남구압구정로22길29
현대아파트,서울특별시강남구선릉로748
현대아파트(75-1),서울특별시강남구학동로87길7
현대아파트101동,서울특별시강남구학동로64길14
현대아파트1동~3동,서울특별시강남구도곡로18길35
현대아파트1동~3동,서울특별시강남구도곡로18길34
현대아파트3,서울특별시강남구개포로409
현대오티움,서울특별시강남구남부순환로377길25
현대이스트빌,서울특별시강남구역삼로33길19
현대인텔렉스,서울특별시강남구언주로620
현대타워(13층-27층),서울특별시강남구테헤란로423
현대트라움,서울특별시강남구언주로70길18-8
현대하이츠,서울특별시강남구역삼로34길12
현대한강빌라,서울특별시강남구도산대로85길56
현대휴먼터치빌,서울특별시강남구논현로565
현대힐스테이트2단지,서울특별시강남구삼성로111길8
형우럭스빌,서울특별시강남구삼성로126길20
호산프라자,서울특별시강남구선릉로604
호원빌라,서울특별시강남구압구정로75길15
호정빌라트,서울특별시강남구양재대로33길14
홍실아파트,서울특별시강남구영동대로128길15
화인하이빌,서울특별시강남구영동대로85길17-9
효성빌라청담101(2차),서울특별시강남구압구정로75길27
효성빌라청담101(A동),서울특별시강남구압구정로71길28
효성빌라청담101(B동),서울특별시강남구압구정로71길28
청담휴먼스타빌,서울특별시강남구도산대로454
휴먼스페이스,서울특별시강남구논현로111길3
힐스빌7,서울특별시강남구학동로5길22
힐스테이트6,서울특별시강남구역삼로10길13
힐타워,서울특별시강남구강남대로132길26
